Area	EdgeDistance_Error	Density_In_Ellipse	Ramanujan	Red_MEAN
833.742159	0.000703	0.996199	0.945486	20.106523
940.816985	0.002447	0.994473	0.933242	19.94976
1307.250088	0.001298	0.997268	0.941163	18.412603
1804.271891	0.002846	0.997811	0.951063	20.241398
711.491972	0.002263	0.993351	0.916411	27.242812
1563.607098	0.000504	0.998388	0.940572	31.222575
1901.511831	0.002145	0.997366	0.940564	29.767637
855.184243	0.001061	0.996664	0.904281	30.317728
1760.196015	0.001428	0.997417	0.945428	35.034978
593.306907	0.004794	0.983342	0.952954	23.09414
1257.695833	0.002341	0.998935	0.926404	29.07345
1325.728979	0.000929	0.998811	0.912639	29.736608
1921.187231	0.002381	0.996823	0.948543	26.459563
973.24227	0.001698	0.996201	0.928457	27.269502
1147.314439	0.004256	0.987218	0.988869	33.495049
1520.864051	0.002471	0.990709	0.98554	29.709877
1975.620426	0.003646	0.989394	0.938886	26.886926
1344.865422	0.004731	0.987087	0.98147	38.541969
2115.096877	0.014681	0.95402	0.990881	39.580783
653.434072	0.01238	0.954692	1.02472	38.065061
1564.871118	0.002547	0.984885	1.046232	36.967833
2093.061121	0.004201	0.991185	0.978464	33.379053
982.844846	0.003239	0.983056	0.997786	23.335367
808.185339	0.002497	0.991234	0.986678	33.01342
1448.73994	0.001769	0.995484	0.937871	41.091581
1898.379814	0.0026	0.994931	0.953845	37.379271
1287.218252	0.001635	0.998388	0.948596	23.28811
1584.778758	0.00217	0.996134	0.974174	36.091222
514.437621	0.003862	0.987645	0.98829	25.825263
727.787735	0.001718	0.99436	0.946993	20.424724
1419.858153	0.00164	0.998087	0.932683	30.059082
1384.102145	0.001672	0.996847	0.966711	27.838367
1287.95134	0.013665	0.964632	1.146391	32.950597
1804.412141	0.009731	0.991642	1.022825	28.167814
2423.914169	0.004441	0.991675	0.942768	29.584361
1766.306672	0.004483	0.996532	0.964403	31.365543
1555.303634	0.001801	0.997899	0.969641	33.151161
1133.106824	0.004316	0.9948	0.955157	32.920256
1293.375266	0.003004	0.993437	0.958698	23.84269
2431.07155	0.002135	0.996602	0.928407	31.288245
1665.855161	0.003535	0.99066	0.980216	34.111023
2000.846117	0.000769	0.996886	0.975177	43.579579
576.970903	0.009513	0.974051	1.005355	29.962046
1997.406338	0.001726	0.995857	0.924532	36.224616
620.467036	0.002923	0.98563	0.955064	29.175871
1367.885146	0.001456	0.997787	0.93575	31.80304
740.608099	0.003152	0.986781	0.967722	23.190468
961.012574	0.001666	0.994657	0.952818	39.029643
1959.293312	0.001477	0.997873	0.958214	38.004445
1714.475885	0.003517	0.99714	0.947186	41.964757
1864.875395	0.002424	0.994446	0.975497	38.246051
631.568434	0.002647	0.989619	0.915041	28.098657
496.752274	0.003301	0.988189	0.930586	26.659332
1882.212671	0.001542	0.997151	0.958772	37.737923
1123.556204	0.043443	0.851555	1.239765	33.447445
2630.028257	0.131124	0.686131	1.205388	32.564669
845.859213	0.009338	0.942958	1.261816	18.548921
1652.531686	0.00126	0.996975	0.98346	35.389956
1928.803213	0.001707	0.99076	1.053485	33.004406
1130.305695	0.022491	0.976271	1.067961	35.688763
3081.715712	0.006572	0.983534	1.081556	33.333181
2076.203053	0.005714	0.966935	1.301838	32.855081
2212.88946	0.00365	0.987266	1.115099	33.359217
1316.684139	0.031841	0.973123	1.087981	25.41821
1987.917041	0.004617	0.970839	1.252097	25.693396
2088.228862	0.005156	0.969479	1.135976	30.280961
843.126747	0.007416	0.97867	1.091745	20.293115
390.193535	0.010367	0.969367	1.048222	20.834526
1695.647149	0.002263	0.994231	0.96782	33.887785
1114.907616	0.002419	0.989262	1.024135	29.704395
1864.185678	0.003286	0.989634	1.011434	35.63561
2088.632207	0.005372	0.994779	0.978219	30.544064
1009.479399	0.002147	0.992466	0.989775	29.19255
1562.952201	0.00466	0.997207	0.970357	31.539936
1974.544829	0.003578	0.989253	0.996247	40.582919
1733.359206	0.002384	0.98976	1.030839	35.033614
854.378888	0.002613	0.987891	0.95879	28.73608
568.862302	0.011033	0.969396	0.961256	20.929475
1691.872208	0.004854	0.997109	0.980513	35.348477
1098.784187	0.001372	0.995278	1.009081	31.478568
1957.751132	0.002053	0.995941	0.939166	36.994887
1179.925914	0.004019	0.997542	0.936793	30.284367
1475.373502	0.002054	0.993614	0.986743	37.238987
1744.36568	0.000725	0.99605	0.957099	37.445384
2083.551346	0.004293	0.994729	0.955282	32.270828
983.765994	0.0024	0.991305	0.922106	29.330292
1575.636644	0.005987	0.995599	0.970136	31.328548
992.035825	0.001031	0.995305	0.937454	28.365324
1849.191509	0.002935	0.997075	0.958828	34.453965
495.950294	0.006072	0.980909	0.963944	25.295998
1316.857938	0.002954	0.99659	0.941636	31.456441
1366.324743	0.002783	0.993787	1.024331	58.107457
888.991747	0.005908	0.981088	0.989289	39.2003
1207.383362	0.010011	0.987946	1.067609	37.352327
1724.327154	0.003952	0.993739	0.977308	31.962238
656.841787	0.004661	0.98864	0.959786	25.287886
1410.003738	0.002266	0.995545	0.963638	30.298949
2036.367051	0.003169	0.995188	0.988435	31.980171
726.233356	0.002591	0.99052	0.967585	32.352894
1196.119051	0.001437	0.997504	0.975777	34.722312
1110.462098	0.007368	0.997299	0.945088	31.263027
1677.170753	0.004369	0.993717	0.929281	33.64707
2298.028061	0.015951	0.974009	1.050241	37.5232
1944.901281	0.002115	0.995717	0.980543	44.373979
786.813179	0.006661	0.965203	1.09521	29.869303
1881.268869	0.003115	0.991641	0.968606	37.044047
1143.711025	0.004103	0.989952	0.968915	32.784474
2337.874188	0.005601	0.988716	0.996951	35.063387
1284.515001	0.002367	0.995781	0.95519	34.408611
1531.321999	0.002841	0.997547	0.932163	31.456224
556.745059	0.00251	0.994059	0.962583	21.453674
1275.526606	0.001804	0.997164	0.952122	32.649313
1902.02826	0.000815	0.998618	0.942601	32.462942
613.926802	0.003315	0.983735	0.937212	23.48267
299.041481	0.010352	0.958781	0.923282	20.853111
1995.442361	0.00085	0.996027	0.976606	41.529636
1169.148798	0.001328	0.993461	0.978005	32.988856
1917.492221	0.001165	0.997777	0.963968	35.948622
1031.785424	0.004963	0.995771	0.92395	35.49533
490.650615	0.002005	0.988039	0.974703	24.681501
1860.173943	0.000866	0.99811	0.97253	38.954034
1846.158238	0.00077	0.997752	0.930918	29.978295
1271.547386	0.003198	0.997583	0.935683	25.050018
890.203724	0.00151	0.994511	0.95158	25.207513
1560.144934	0.000609	0.998397	0.941433	38.581378
1373.893814	0.005252	0.976965	1.076909	33.452464
2135.813179	0.000745	0.997423	0.938303	42.561451
1427.987952	0.003555	0.99893	0.926753	32.326826
1221.881325	0.002303	0.998814	0.916331	34.167988
1470.791939	0.0047	0.996806	0.947241	30.451962
635.39727	0.006434	0.977197	0.949737	23.420545
1230.109279	0.003221	0.998325	0.95077	34.699304
2236.99134	0.004582	0.99624	0.951614	35.633723
1531.594809	0.002148	0.997281	0.955137	37.279738
923.283678	0.002715	0.992094	0.924046	26.7506
1522.941808	0.002332	0.998139	0.927903	35.817928
171.645428	0.008821	0.973815	0.970981	22.131592
1152.644298	0.002282	0.997694	0.942529	32.910048
1506.987873	0.002219	0.997347	0.955368	34.677183
1050.427564	0.00717	0.997202	0.937846	47.018716
1564.084276	0.001275	0.996326	0.939581	31.523895
1972.631086	0.000614	0.996678	0.944752	39.07312
1704.313488	0.002952	0.996084	0.937484	45.476166
1011.732654	0.000983	0.995242	0.946531	36.906393
930.220183	0.003314	0.992258	0.982715	33.470144
1371.807867	0.001979	0.996946	0.932739	38.404587
1170.575561	0.00199	0.997296	0.928501	33.066774
1343.859229	0.001359	0.998199	0.928442	35.690139
807.630547	0.003517	0.993207	0.935705	19.128907
1679.587785	0.003561	0.997847	0.91617	30.283342
616.802357	0.048553	0.970505	0.985862	49.275487
808.613907	0.00138	0.994492	0.978383	32.862394
1482.167992	0.006188	0.998798	0.899283	34.542219
1831.578842	0.00212	0.997723	0.945569	32.383766
1111.729624	0.000911	0.994878	0.94447	25.802284
2038.619463	0.002594	0.997579	0.932305	34.847444
1125.380449	0.001739	0.993158	0.937925	33.508937
1532.525177	0.002803	0.998841	0.924811	35.362463
873.655692	0.000693	0.996386	0.952652	33.621127
1611.340009	0.00494	0.999058	0.920325	38.566294
1450.828995	0.004688	0.998713	0.933375	40.2188
1341.656778	0.000917	0.998539	0.937984	29.717141
1651.750951	0.012176	0.990735	0.971464	42.685322
1094.83254	0.001408	0.996967	0.942792	37.277113
1514.734516	0.000639	0.998855	0.919553	44.562926
215.83255	0.019309	0.958408	0.911328	23.490032
1482.924065	0.000972	0.99763	0.942751	37.56246
919.499113	0.00131	0.99597	0.955	40.335316
873.830611	0.002057	0.995033	0.969191	17.56909
1087.275439	0.002166	0.995453	0.936335	38.205298
2063.341131	0.001151	0.997678	0.966429	40.54417
1140.229934	0.002866	0.99215	0.995906	39.481223
1724.933742	0.002155	0.991792	0.97897	41.25824
2092.378871	0.00544	0.990423	1.025786	39.133884
485.659787	0.004158	0.976967	0.974132	25.435017
1272.277153	0.003791	0.995063	0.996207	38.182265
1047.867056	0.001867	0.9909	0.962409	38.236032
1135.586425	0.015172	0.99716	0.968178	49.109348
339.679567	0.017093	0.943345	1.067181	20.316408
1001.154098	0.002397	0.990508	0.93138	42.291865
1749.991841	0.005851	0.995239	0.966233	41.575774
1269.820798	0.00164	0.993862	0.954042	34.566807
1039.124524	0.001371	0.993957	0.933499	36.212418
1848.583169	0.001273	0.995568	0.981439	32.673062
1925.927811	0.004353	0.991805	1.070064	41.115952
1268.440806	0.009713	0.991911	0.980683	20.438814
1897.300821	0.001687	0.996845	0.967784	35.380421
836.670974	0.020903	0.955984	1.15603	30.295132
2681.874348	0.010129	0.979456	1.255951	42.088494
1873.723989	0.020796	0.971609	1.139685	37.472366
1884.971904	0.006289	0.988286	1.065853	37.627589
1862.96008	0.006116	0.986308	1.132039	37.455345
2066.888847	0.004362	0.984556	1.038725	36.163616
1169.338441	0.007086	0.987234	1.017233	36.674048
4647.504279	0.012845	0.936975	1.643965	25.768844
2619.055647	0.004729	0.983376	1.127692	31.543066
1592.59577	0.002453	0.988353	1.024962	29.927099
1447.05826	0.001808	0.995496	1.041582	30.88845
1575.1794	0.007706	0.994564	0.984906	39.722081
